155,"Waise aap ka swabhav to shaqq hai, din-raat mehnat, aur satarkta hai. Bharosa to hum aap pe karte hain! Respect 🙏 https://t.co/4xMBnnyZ6N"
156,https://t.co/jsy7AOFxyH
157,"For those who haven't yet, #unlocktheamazing #vivov11pro 
https://t.co/iLcO2wvJWD"
158,"Thank you Kamal Sir. Really appreciate your warm gesture. 
Love and respect. 
a. https://t.co/9DesNKb67M"
159,"Thank you for doing the honours, 
Sir 🙏.
Love and respect.
a. https://t.co/1pj4FJxnhp"
160,"Here come the Thugs! Its a big day for all of us. Missing Yash ji. Wish he was here with us. 
I hope that TOH will make your Diwali a fun and enjoyable ride! #ThugsOfHindostanTrailer 

https://t.co/amNBe4iFy5

@yrf @TOHTheFilm @SrBachchan #KatrinaKaif @fattysanashaikh https://t.co/HJYXGAbBe6"
161,"My first attempt at Telugu. Hope you like it.
Love.
a

https://t.co/hmyOHqQfNu

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
162,"My first attempt at Tamil. Hope you like it.
Love. 
a

https://t.co/jZiMKcft4C

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
163,"To see myself on a poster with Mr.Bachchan is a dream come true for me. I still cant believe it.

https://t.co/vuzOaT1V18

#ThugsOfHindostan | @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif | @fattysanashaikh"
164,"और इ हैँ हम, फिरंगी मल्लाह.
हम से ज्यादा नेक  इन्सान इस धरती पे कहीं नहीं मिलेगा आपको.
सच्चाई तो हमरा दूसरा नाम है, और भरोसा हमरा काम. 
दादी कसम !!!

https://t.co/GyIsrM2rNp

#ThugsOfHindostan | @yrf | @TOHtheFilm | @SrBachchan | @fattysanashaikh | #KatrinaKaif"
165,"सुरैया जान.... सबसे खूबसूरत ठग ! धूम ३ के वक़्त से मेरा दिल इनपे आया हुआ है... पर कहने की हिम्मत कभी नहीं हुई. कोई अगर इन्हें ये बता दे तो बड़ी मेहेरबानी होगी ;-)

#ThugsOfHindostan | @yrf | @TOHtheFilm | @SrBachchan | @fattysanashaikh | #KatrinaKaif https://t.co/wCEgwWUb2P"
166,"John Clive..not to be confused with Robert Clive..as you can see he is one of the most gentle and kind souls. Loving, caring non violent, and generous. My idol! #JohnClive #ThugsOfHindostan | @yrf | @TOHtheFilm @SrBachchan @fattysanashaikh #KatrinaKaif 
https://t.co/GBS9XgveEQ"
167,"The warrior thug! Iskey nishane se bach ke raho!!!
@fattysanashaikh as #Zafira @yrf | @TOHTheFilm | @SrBachchan | #KatrinaKaif
https://t.co/3d4yoob2FO"
168,"The biggest thug of all !!!
Love, 
a.
@SrBachchan as #Khudabaksh in #ThugsOfHindostan
@yrf | @TOHTheFilm | #KatrinaKaif | @fattysanashaikh 

https://t.co/gfsCJWv5hK"
169,"The thugs are coming. 
love, 
a.
 #ThugsOfHindostan releasing on 8th November.
@yrf | @TOHTheFilm | @SrBachchan  | @fattysanashaikh | #KatrinaKaif

https://t.co/kczxjmvtWQ"
170,@Prof_Malhotra Thank you Prof Deepak 🙏
171,"We thank the Supreme Court for its decision to strike down article 377. It is a historic day for people who believe in equal rights for all. The judiciary has done it’s duty, and now we must do ours. 

https://t.co/zzxc4kfNxS"
172,"Wah! Kaun hai bhai iss group ka principal? Whoever made this video, lots of love to you..
https://t.co/9fq8pSpH3z"
173,"Wishing everyone a very happy Janmashtami. 
love, 
a."
174,"Good luck Komal. @KomalNahta
love,
a. 

https://t.co/Ij6AiMoYrG"
